ID,Week,PD1,PD2,PD3,PD4
ER17_1,1,"(A,A)","(B,V)","(A,A)","(B,V)"
ER17_2,1,"(B,A)","(A,V)","(B,A)","(A,V)"
ER17_3,1,"(A,V)","(B,B)","(A,V)","(B,B)"
ER17_4,1,"(B,V)","(A,B)","(B,V)","(A,B)"
ER17_5,1,"(A,C)","(B,V)","(A,C)","(B,V)"
ER17_6,1,"(B,C)","(A,V)","(B,C)","(A,V)"
ER17_7,1,"(A,V)","(B,D)","(A,V)","(B,D)"
ER17_8,1,"(B,V)","(A,D)","(B,V)","(A,D)"
ER17_9,1,"(A,B)","(B,V)","(A,B)","(B,V)"
ER17_10,1,"(B,B)","(A,V)","(B,B)","(A,V)"
ER17_11,1,"(A,V)","(B,A)","(A,V)","(B,A)"
ER17_12,1,"(B,V)","(A,A)","(B,V)","(A,A)"
ER17_1,2,"(A,V)","(B,B)","(A,V)","(B,B)"
ER17_2,2,"(B,V)","(A,B)","(B,V)","(A,B)"
ER17_3,2,"(A,D)","(B,V)","(A,D)","(B,V)"
ER17_4,2,"(B,D)","(A,V)","(B,D)","(A,V)"
ER17_5,2,"(A,V)","(B,A)","(A,V)","(B,A)"
ER17_6,2,"(B,V)","(A,A)","(B,V)","(A,A)"
ER17_7,2,"(A,C)","(B,V)","(A,C)","(B,V)"
ER17_8,2,"(B,C)","(A,V)","(B,C)","(A,V)"
ER17_9,2,"(A,V)","(B,D)","(A,V)","(B,D)"
ER17_10,2,"(B,V)","(A,D)","(B,V)","(A,D)"
ER17_11,2,"(A,B)","(B,V)","(A,B)","(B,V)"
ER17_12,2,"(B,B)","(A,V)","(B,B)","(A,V)"
ER17_1,3,"(A,C)","(B,V)","(A,C)","(B,V)"
ER17_2,3,"(B,C)","(A,V)","(B,C)","(A,V)"
ER17_3,3,"(A,V)","(B,A)","(A,V)","(B,A)"
ER17_4,3,"(B,V)","(A,A)","(B,V)","(A,A)"
ER17_5,3,"(A,D)","(B,V)","(A,D)","(B,V)"
ER17_6,3,"(B,D)","(A,V)","(B,D)","(A,V)"
ER17_7,3,"(A,V)","(B,B)","(A,V)","(B,B)"
ER17_8,3,"(B,V)","(A,B)","(B,V)","(A,B)"
ER17_9,3,"(A,A)","(B,V)","(A,A)","(B,V)"
ER17_10,3,"(B,A)","(A,V)","(B,A)","(A,V)"
ER17_11,3,"(A,V)","(B,C)","(A,V)","(B,C)"
ER17_12,3,"(B,V)","(A,C)","(B,V)","(A,C)"
ER17_1,4,"(A,V)","(B,D)","(A,V)","(B,D)"
ER17_2,4,"(B,V)","(A,D)","(B,V)","(A,D)"
ER17_3,4,"(A,C)","(B,V)","(A,C)","(B,V)"
ER17_4,4,"(B,C)","(A,V)","(B,C)","(A,V)"
ER17_5,4,"(A,V)","(B,B)","(A,V)","(B,B)"
ER17_6,4,"(B,V)","(A,B)","(B,V)","(A,B)"
ER17_7,4,"(A,A)","(B,V)","(A,A)","(B,V)"
ER17_8,4,"(B,A)","(A,V)","(B,A)","(A,V)"
ER17_9,4,"(A,V)","(B,C)","(A,V)","(B,C)"
ER17_10,4,"(B,V)","(A,C)","(B,V)","(A,C)"
ER17_11,4,"(A,D)","(B,V)","(A,D)","(B,V)"
ER17_12,4,"(B,D)","(A,V)","(B,D)","(A,V)"
